item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"1.772"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$102.86,(S),$0.0265,$0.0013,$0.0278,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"2.000"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$116.10,(S),$0.0299,$0.0015,$0.0314,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"2.500"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$145.13,(S),$0.0373,$0.0019,$0.0392,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"3.000"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$174.15,(S),$0.0448,$0.0022,$0.0470,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"3.500"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$203.18,(S),$0.0523,$0.0026,$0.0549,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"4.000"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$232.20,(S),$0.0597,$0.0030,$0.0627,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"4.500"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$261.23,(S),$0.0672,$0.0034,$0.0705,WT Burnett,2-3 weeks
6LBN,Open Cell Foam,Polyurethane (Polyester),6LBN Polyurethane (6.0#) Polyester Charcoal,"5.000"" thick",MS-AY545A; ESB-M4D75-A,"54"" x 72""",72,54,,$290.25,(S),$0.0747,$0.0037,$0.0784,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".125"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$2.09,(S),$0.0005,$0.0000,$0.0006,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".250"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$4.18,(S),$0.0011,$0.0001,$0.0011,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".394"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$6.59,(S),$0.0017,$0.0001,$0.0018,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".500"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$8.36,(S),$0.0022,$0.0001,$0.0023,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".591"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$9.88,(S),$0.0025,$0.0001,$0.0027,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,".787"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$13.15,(S),$0.0034,$0.0002,$0.0036,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"1.000"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$16.71,(S),$0.0043,$0.0002,$0.0045,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"1.181"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$19.74,(S),$0.0051,$0.0003,$0.0053,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"1.378"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$23.03,(S),$0.0059,$0.0003,$0.0062,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"1.575"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$26.32,(S),$0.0068,$0.0003,$0.0071,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"1.772"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$29.62,(S),$0.0076,$0.0004,$0.0080,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"2.000"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$33.43,(S),$0.0086,$0.0004,$0.0090,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"2.500"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$41.78,(S),$0.0107,$0.0005,$0.0113,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"3.000"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$50.14,(S),$0.0129,$0.0006,$0.0135,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"3.500"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$58.50,(S),$0.0150,$0.0008,$0.0158,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"4.000"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$66.85,(S),$0.0172,$0.0009,$0.0181,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"4.500"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$75.20,(S),$0.0193,$0.0010,$0.0203,WT Burnett,2-3 weeks
FLER4,Open Cell Foam,Polyurethane (Polyether),FLER4 Polyurethane (1.9#) Polyether Grey,"5.000"" thick",MS-AY309-A; WSS-M99P48-A2; GMW15058-A1; TSM6712G-1BN,"54"" x 72""",72,54,,$83.57,(S),$0.0215,$0.0011,$0.0226,WT Burnett,2-3 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".125"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$2.17,(S),$0.0006,$0.0001,$0.0007,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".250"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$4.33,(S),$0.0011,$0.0001,$0.0012,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".394"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$6.83,(S),$0.0018,$0.0001,$0.0018,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$8.67,(S),$0.0022,$0.0001,$0.0023,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".591"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$10.24,(S),$0.0026,$0.0001,$0.0028,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,".787"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$13.64,(S),$0.0035,$0.0002,$0.0037,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"1.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$17.33,(S),$0.0045,$0.0002,$0.0047,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"1.181"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$20.47,(S),$0.0053,$0.0003,$0.0055,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"1.378"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$23.89,(S),$0.0061,$0.0003,$0.0065,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"1.575"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$27.30,(S),$0.0070,$0.0004,$0.0074,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"1.772"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$30.72,(S),$0.0079,$0.0004,$0.0083,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"2.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$34.67,(S),$0.0089,$0.0004,$0.0094,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"2.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$43.34,(S),$0.0111,$0.0006,$0.0117,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"3.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$52.00,(S),$0.0134,$0.0007,$0.0140,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"3.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$60.67,(S),$0.0156,$0.0008,$0.0164,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"4.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$69.34,(S),$0.0178,$0.0009,$0.0187,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"4.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$78.00,(S),$0.0201,$0.0010,$0.0211,WT Burnett,6-8 weeks
LS3,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS3 Polyurethane (2.0#) Polyester Pink2020,"5.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$86.67,(S),$0.0223,$0.0011,$0.0234,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".125"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$2.17,(S),$0.0006,$0.0001,$0.0007,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".250"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$4.33,(S),$0.0011,$0.0001,$0.0012,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".394"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$6.83,(S),$0.0018,$0.0001,$0.0018,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$8.67,(S),$0.0022,$0.0001,$0.0023,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".591"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$10.24,(S),$0.0026,$0.0001,$0.0028,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,".787"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$13.64,(S),$0.0035,$0.0002,$0.0037,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"1.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$17.33,(S),$0.0045,$0.0002,$0.0047,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"1.181"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$20.47,(S),$0.0053,$0.0003,$0.0055,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"1.378"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$23.89,(S),$0.0061,$0.0003,$0.0065,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"1.575"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$27.30,(S),$0.0070,$0.0004,$0.0074,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"1.772"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$30.72,(S),$0.0079,$0.0004,$0.0083,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"2.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$34.67,(S),$0.0089,$0.0004,$0.0094,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"2.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$43.34,(S),$0.0111,$0.0006,$0.0117,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"3.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$52.00,(S),$0.0134,$0.0007,$0.0140,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"3.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$60.67,(S),$0.0156,$0.0008,$0.0164,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"4.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$69.34,(S),$0.0178,$0.0009,$0.0187,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"4.500"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$78.00,(S),$0.0201,$0.0010,$0.0211,WT Burnett,6-8 weeks
LS2,Open Cell Foam,Polyurethane (Polyester/Anti-Static),LS2 Polyurethane (2.0#) Polyester Grey59,"5.000"" thick",MILP26514F-Type III-CLASS 2-Grade B & C,"54"" x 72""",72,54,,$86.67,(S),$0.0223,$0.0011,$0.0234,WT Burnett,6-8 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".125"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$1.61,(S),$0.0004,$0.0001,$0.0005,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".250"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$3.22,(S),$0.0008,$0.0001,$0.0009,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".394"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$5.07,(S),$0.0013,$0.0001,$0.0014,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".500"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$6.44,(S),$0.0017,$0.0001,$0.0017,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".591"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$7.61,(S),$0.0020,$0.0001,$0.0021,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,".787"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$10.14,(S),$0.0026,$0.0001,$0.0027,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"1.000"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$12.88,(S),$0.0033,$0.0002,$0.0035,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"1.181"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$15.21,(S),$0.0039,$0.0002,$0.0041,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"1.378"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$17.74,(S),$0.0046,$0.0002,$0.0048,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"1.575"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$20.28,(S),$0.0052,$0.0003,$0.0055,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"1.772"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$22.82,(S),$0.0059,$0.0003,$0.0062,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"2.000"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$25.76,(S),$0.0066,$0.0003,$0.0070,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"2.500"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$32.20,(S),$0.0083,$0.0004,$0.0087,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"3.000"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$38.64,(S),$0.0099,$0.0005,$0.0104,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"3.500"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$45.08,(S),$0.0116,$0.0006,$0.0122,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"4.000"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$51.52,(S),$0.0133,$0.0007,$0.0139,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"4.500"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$57.96,(S),$0.0149,$0.0007,$0.0157,WT Burnett,2-3 weeks
EMR-1,Acoustic Foam,Polyurethane (Polyether),EMR-1 Polyurethane (1.5#) Polyether Grey,"5.000"" thick",MS-AY301A; MSAY349; WSS-M99P32-D6; ESB-M2D304-A; GMW16750-1A; TSK-6712G-1A; GM2101M TYPE 1,"54"" x 72""",72,54,,$64.40,(S),$0.0166,$0.0008,$0.0174,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".125"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$2.06,(S),$0.0005,$0.0001,$0.0006,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".250"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$4.12,(S),$0.0011,$0.0001,$0.0011,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".394"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$6.50,(S),$0.0017,$0.0001,$0.0018,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".500"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$8.25,(S),$0.0021,$0.0001,$0.0022,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".591"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$9.75,(S),$0.0025,$0.0001,$0.0026,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,".787"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$12.98,(S),$0.0033,$0.0002,$0.0035,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,"1.000"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$16.50,(S),$0.0042,$0.0002,$0.0045,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,"1.181"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$19.48,(S),$0.0050,$0.0003,$0.0053,WT Burnett,2-3 weeks
EMR-3,Acoustic Foam,Polyurethane (Polyether),EMR-3 Polyurethane (1.5#) Polyether Grey,"1.378"" thick",ESB-M2D304-A; TSM6712G-1BN-NJ; TSK6712G-1A,"54"" x 72""",72,54,,$22.73,(S),$0.0058,$0.0003,$0.0061,WT Burnett,2-3 weeks
